,location,total_sqft,bath,price,bhk
46,7th Phase JP Nagar,1400.0,3.0,115.0,3
47,7th Phase JP Nagar,1270.0,2.0,83.0,2
48,7th Phase JP Nagar,3300.0,4.0,150.0,4
49,7th Phase JP Nagar,2503.0,4.0,188.0,4
50,7th Phase JP Nagar,2200.0,3.0,190.0,3
51,7th Phase JP Nagar,1250.0,3.0,65.0,3
52,7th Phase JP Nagar,1385.0,2.0,58.17,3
53,7th Phase JP Nagar,1575.0,2.0,110.0,3
54,7th Phase JP Nagar,1850.0,3.0,140.0,3
55,7th Phase JP Nagar,1575.0,2.0,120.0,3
56,7th Phase JP Nagar,1850.0,3.0,150.0,3
57,7th Phase JP Nagar,1680.0,3.0,120.0,3
58,7th Phase JP Nagar,1175.0,2.0,82.5,2
59,7th Phase JP Nagar,3300.0,4.0,160.0,3
60,7th Phase JP Nagar,2200.0,4.0,105.0,3
61,7th Phase JP Nagar,1215.0,2.0,90.0,2
62,7th Phase JP Nagar,1050.0,2.0,75.0,2
63,7th Phase JP Nagar,1300.0,3.0,89.13,3
64,7th Phase JP Nagar,1130.0,2.0,73.0,2
65,7th Phase JP Nagar,1450.0,3.0,100.0,3
66,7th Phase JP Nagar,1350.0,3.0,58.0,3
67,7th Phase JP Nagar,1050.0,2.0,50.0,2
68,7th Phase JP Nagar,1275.0,2.0,87.0,2
69,7th Phase JP Nagar,1460.0,3.0,70.0,3
70,7th Phase JP Nagar,1650.0,3.0,110.0,3
71,7th Phase JP Nagar,850.0,2.0,42.0,2
72,7th Phase JP Nagar,1680.0,3.0,117.0,3
73,7th Phase JP Nagar,1850.0,3.0,150.0,3
74,7th Phase JP Nagar,1236.0,2.0,61.33,2
75,7th Phase JP Nagar,1000.0,2.0,53.0,2
76,7th Phase JP Nagar,1680.0,3.0,125.0,3
77,7th Phase JP Nagar,1675.0,2.0,135.0,3
78,7th Phase JP Nagar,1187.0,2.0,59.0,2
79,7th Phase JP Nagar,1850.0,3.0,155.0,3
80,7th Phase JP Nagar,1000.0,2.0,61.0,2
81,7th Phase JP Nagar,1460.0,2.0,100.0,3
82,7th Phase JP Nagar,1650.0,3.0,110.0,3
83,7th Phase JP Nagar,1200.0,2.0,62.5,2
84,7th Phase JP Nagar,1000.0,2.0,70.65,2
85,7th Phase JP Nagar,1080.0,2.0,75.0,2
86,7th Phase JP Nagar,1415.0,3.0,65.0,3
87,7th Phase JP Nagar,1680.0,3.0,125.0,3
88,7th Phase JP Nagar,1460.0,2.0,97.0,3
89,7th Phase JP Nagar,1120.0,2.0,65.0,2
90,7th Phase JP Nagar,1100.0,3.0,60.0,2
91,7th Phase JP Nagar,1790.0,3.0,120.0,3
92,7th Phase JP Nagar,1680.0,3.0,117.0,3
93,7th Phase JP Nagar,1050.0,2.0,77.0,2
94,7th Phase JP Nagar,1050.0,2.0,75.0,2
95,7th Phase JP Nagar,1040.0,2.0,75.0,2
96,7th Phase JP Nagar,1400.0,2.0,95.0,3
97,7th Phase JP Nagar,1800.0,3.0,130.0,3
98,7th Phase JP Nagar,1050.0,2.0,68.0,2
99,7th Phase JP Nagar,1000.0,2.0,60.0,2
100,7th Phase JP Nagar,1680.0,3.0,125.0,3
101,7th Phase JP Nagar,1050.0,2.0,77.47,2
102,7th Phase JP Nagar,1270.0,2.0,80.0,2
103,7th Phase JP Nagar,1463.0,2.0,61.45,3
104,7th Phase JP Nagar,1680.0,3.0,122.0,3
105,7th Phase JP Nagar,1130.0,2.0,85.0,2
106,7th Phase JP Nagar,1680.0,3.0,130.0,3
107,7th Phase JP Nagar,980.0,2.0,77.44,2
108,7th Phase JP Nagar,1680.0,3.0,112.0,3
109,7th Phase JP Nagar,1515.0,2.0,76.0,3
110,7th Phase JP Nagar,2095.0,3.0,150.0,3
111,7th Phase JP Nagar,1976.0,3.0,145.0,3
112,7th Phase JP Nagar,1600.0,2.0,110.0,3
113,7th Phase JP Nagar,1765.0,3.0,118.0,3
114,7th Phase JP Nagar,1275.0,2.0,88.0,3
115,7th Phase JP Nagar,1450.0,2.0,102.0,3
116,7th Phase JP Nagar,1575.0,2.0,110.0,3
117,7th Phase JP Nagar,1075.0,2.0,57.0,3
118,7th Phase JP Nagar,750.0,1.0,47.0,1
119,7th Phase JP Nagar,990.0,2.0,50.0,2
120,7th Phase JP Nagar,1000.0,1.0,60.0,1
121,7th Phase JP Nagar,1680.0,2.0,92.0,3
122,7th Phase JP Nagar,1430.0,2.0,102.0,3
123,7th Phase JP Nagar,1128.0,2.0,60.0,2
124,7th Phase JP Nagar,1140.0,2.0,57.0,2
125,7th Phase JP Nagar,1420.0,3.0,90.0,3
126,7th Phase JP Nagar,1530.0,2.0,108.0,2
127,8th Phase JP Nagar,1073.0,2.0,54.005,2
128,8th Phase JP Nagar,451.0,1.0,29.9,1
129,8th Phase JP Nagar,1240.0,3.0,43.5,3
130,8th Phase JP Nagar,1062.0,2.0,42.47,2
131,8th Phase JP Nagar,1230.0,2.0,43.5,3
132,8th Phase JP Nagar,1455.0,3.0,73.31,3
133,8th Phase JP Nagar,871.0,2.0,55.0,2
134,8th Phase JP Nagar,1098.0,2.0,43.91,2
135,8th Phase JP Nagar,1800.0,3.0,80.0,3
136,8th Phase JP Nagar,2700.0,4.0,130.0,4
137,8th Phase JP Nagar,1080.0,2.0,38.0,2
138,8th Phase JP Nagar,1059.0,2.0,34.5,2
139,8th Phase JP Nagar,1080.0,2.0,35.0,2
140,8th Phase JP Nagar,1275.0,2.0,41.5,3
141,8th Phase JP Nagar,1062.0,2.0,42.47,2
142,8th Phase JP Nagar,500.0,1.0,31.0,1
143,8th Phase JP Nagar,1100.0,2.0,35.0,2
144,8th Phase JP Nagar,2100.0,4.0,92.0,4
145,8th Phase JP Nagar,1035.0,2.0,39.33,2
146,8th Phase JP Nagar,909.0,2.0,40.9,2
147,8th Phase JP Nagar,1431.0,3.0,72.02,3
148,8th Phase JP Nagar,1900.0,4.0,90.0,3
149,8th Phase JP Nagar,500.0,1.0,30.0,1
150,8th Phase JP Nagar,1125.0,2.0,36.94,2
151,8th Phase JP Nagar,1100.0,2.0,35.0,2
152,8th Phase JP Nagar,1089.0,2.0,43.55,2
153,8th Phase JP Nagar,1605.0,2.0,65.0,3
154,8th Phase JP Nagar,1504.0,2.0,83.0,3
155,8th Phase JP Nagar,2600.0,4.0,115.0,4
156,8th Phase JP Nagar,1368.0,2.0,54.71,3
157,8th Phase JP Nagar,1089.0,2.0,43.55,2
158,8th Phase JP Nagar,1224.0,2.0,48.95,3
159,8th Phase JP Nagar,1513.0,2.0,62.0,2
160,8th Phase JP Nagar,1298.0,2.0,59.0,2
161,8th Phase JP Nagar,1006.0,2.0,44.0,2
162,8th Phase JP Nagar,500.0,1.0,33.0,1
163,8th Phase JP Nagar,1160.0,2.0,95.0,2
164,8th Phase JP Nagar,1245.0,2.0,59.0,2
165,8th Phase JP Nagar,1510.0,2.0,80.0,2
166,8th Phase JP Nagar,3300.0,3.0,165.0,3
167,8th Phase JP Nagar,1730.0,5.0,75.0,5
168,8th Phase JP Nagar,1296.0,2.0,51.83,3
169,8th Phase JP Nagar,1275.0,3.0,45.0,3
170,8th Phase JP Nagar,1046.0,2.0,48.0,2
171,8th Phase JP Nagar,1269.0,2.0,50.75,3
172,8th Phase JP Nagar,1408.0,3.0,80.0,3
173,8th Phase JP Nagar,1500.0,2.0,55.0,3
174,9th Phase JP Nagar,1005.0,2.0,50.0,2
175,9th Phase JP Nagar,1890.0,2.0,85.0,3
176,9th Phase JP Nagar,1100.0,2.0,65.0,2
177,9th Phase JP Nagar,1080.0,2.0,37.0,2
178,9th Phase JP Nagar,1035.0,2.0,45.0,2
179,9th Phase JP Nagar,5000.0,4.0,290.0,4
180,9th Phase JP Nagar,1164.0,2.0,56.0,2
181,9th Phase JP Nagar,1005.0,2.0,42.0,2
182,9th Phase JP Nagar,1127.0,2.0,50.0,2
183,9th Phase JP Nagar,1005.0,2.0,43.0,2
184,9th Phase JP Nagar,835.0,2.0,37.0,2
185,9th Phase JP Nagar,1050.0,2.0,39.0,2
186,9th Phase JP Nagar,660.0,2.0,27.0,2
187,9th Phase JP Nagar,600.0,1.0,20.0,1
188,9th Phase JP Nagar,1466.0,2.0,71.0,2
189,9th Phase JP Nagar,1890.0,2.0,93.0,3
190,9th Phase JP Nagar,1079.0,2.0,60.0,2
191,9th Phase JP Nagar,1480.0,2.0,80.0,2
192,9th Phase JP Nagar,1200.0,2.0,80.0,2
193,9th Phase JP Nagar,905.0,2.0,32.0,2
194,9th Phase JP Nagar,1073.0,2.0,52.36,2
195,9th Phase JP Nagar,1719.3,2.0,88.0,3
196,9th Phase JP Nagar,1780.0,3.0,88.0,3
197,9th Phase JP Nagar,1300.0,2.0,58.0,3
198,9th Phase JP Nagar,1522.0,3.0,90.0,3
199,9th Phase JP Nagar,1571.0,3.0,65.0,3
200,9th Phase JP Nagar,1900.0,4.0,80.0,4
201,9th Phase JP Nagar,890.0,2.0,45.0,2
202,9th Phase JP Nagar,1240.0,2.0,39.89,3
203,9th Phase JP Nagar,5000.0,4.0,300.0,4
204,9th Phase JP Nagar,1240.0,2.0,42.85,3
205,9th Phase JP Nagar,1050.0,2.0,35.0,2
206,9th Phase JP Nagar,1331.95,2.0,69.0,2
207,AECS Layout,1100.0,2.0,45.0,2
208,AECS Layout,1028.0,2.0,42.0,2
209,AECS Layout,1199.0,2.0,65.0,2
210,AECS Layout,1080.0,2.0,55.0,2
211,AECS Layout,1123.0,2.0,64.0,2
212,AECS Layout,1308.0,2.0,60.0,2
213,AECS Layout,1005.0,2.0,55.0,2
214,AECS Layout,2000.0,3.0,90.0,3
215,Abbigere,985.0,2.0,40.39,2
216,Abbigere,2200.0,6.0,68.0,6
217,Abbigere,765.0,2.0,30.0,1
218,Abbigere,880.0,2.0,35.0,2
219,Abbigere,795.0,2.0,32.54,2
220,Abbigere,1005.0,2.0,39.59,2
221,Abbigere,734.0,1.0,19.82,1
222,Abbigere,1260.0,2.0,45.0,3
223,Abbigere,1020.0,2.0,41.82,2
224,Abbigere,985.0,2.0,40.39,2
225,Abbigere,2500.0,6.0,81.0,6
226,Abbigere,795.0,2.0,32.54,2
227,Abbigere,1130.0,2.0,46.33,2
228,Abbigere,795.0,1.0,32.6,2
229,Abbigere,3000.0,8.0,150.0,8
230,Abbigere,985.0,2.0,38.92,2
231,Abbigere,1000.0,2.0,41.0,2
232,Abbigere,995.0,2.0,40.8,2
233,Abbigere,1020.0,2.0,40.8,2
234,Akshaya Nagar,1388.0,2.0,57.0,2
235,Akshaya Nagar,1070.0,2.0,54.0,2
236,Akshaya Nagar,1280.0,2.0,58.0,2
237,Akshaya Nagar,1662.0,3.0,85.1,3
238,Akshaya Nagar,1897.0,3.0,120.0,3
239,Akshaya Nagar,1410.0,2.0,75.0,3
240,Akshaya Nagar,1360.0,2.0,85.0,3
241,Akshaya Nagar,1600.0,2.0,65.0,3
242,Akshaya Nagar,1410.0,2.0,80.0,3
243,Akshaya Nagar,1662.0,3.0,85.0,3
244,Akshaya Nagar,1662.0,3.0,85.5,3
245,Akshaya Nagar,1280.0,2.0,60.0,2
246,Akshaya Nagar,1666.0,3.0,95.0,3
247,Akshaya Nagar,1575.0,3.0,90.0,3
248,Akshaya Nagar,1430.0,2.0,75.0,3
249,Akshaya Nagar,1419.0,2.0,73.0,3
250,Akshaya Nagar,1280.0,2.0,60.0,2
251,Akshaya Nagar,1200.0,2.0,50.0,2
252,Akshaya Nagar,1092.0,2.0,60.0,2
253,Akshaya Nagar,1690.0,3.0,85.0,3
254,Akshaya Nagar,1700.0,3.0,80.0,3
255,Akshaya Nagar,1897.0,4.0,93.0,3
256,Akshaya Nagar,1884.0,3.0,98.0,3
257,Akshaya Nagar,1314.0,2.0,68.8,2
258,Akshaya Nagar,1690.0,3.0,85.0,3
259,Akshaya Nagar,1265.0,2.0,67.0,2
260,Akshaya Nagar,1126.0,2.0,55.0,2
261,Akshaya Nagar,2300.0,4.0,102.0,3
262,Akshaya Nagar,1662.0,3.0,90.0,3
263,Akshaya Nagar,1420.0,2.0,75.0,3
264,Akshaya Nagar,1412.0,2.0,88.0,3
265,Akshaya Nagar,1434.0,3.0,84.0,3
266,Akshaya Nagar,1890.0,4.0,100.0,3
267,Akshaya Nagar,2650.0,3.0,125.0,3
268,Akshaya Nagar,1419.0,2.0,87.0,3
269,Akshaya Nagar,1300.0,2.0,54.0,2
270,Akshaya Nagar,1690.0,3.0,85.0,3
271,Akshaya Nagar,1113.0,2.0,52.0,2
272,Akshaya Nagar,1820.0,4.0,95.0,3
273,Akshaya Nagar,1100.0,2.0,48.0,2
274,Akshaya Nagar,1896.0,3.0,102.0,3
275,Akshaya Nagar,1300.0,2.0,66.0,2
276,Akshaya Nagar,1225.0,2.0,68.0,2
277,Akshaya Nagar,1179.0,2.0,51.0,2
278,Akshaya Nagar,1421.0,2.0,73.0,3
279,Akshaya Nagar,1893.0,4.0,95.0,3
280,Akshaya Nagar,900.0,2.0,45.0,2
281,Ambalipura,1105.0,2.0,75.0,2
282,Ambalipura,1800.0,3.0,110.0,3
283,Ambalipura,1150.0,2.0,80.0,2
284,Ambalipura,1250.0,2.0,66.25,2
285,Ambalipura,1332.0,2.0,79.0,2
286,Ambalipura,1730.0,3.0,120.0,3
287,Ambalipura,3500.0,3.0,198.0,3
288,Ambalipura,1230.0,2.0,66.25,2
289,Ambalipura,1351.0,2.0,77.0,2
290,Ambalipura,2550.0,4.0,149.0,4
291,Ambalipura,1817.0,3.0,102.0,3
292,Ambalipura,2750.0,4.0,142.0,4
293,Ambalipura,1303.0,2.0,80.0,2
294,Ambalipura,1607.0,2.0,112.0,3
295,Ambalipura,770.0,1.0,43.82,1
296,Ambalipura,1700.0,2.0,76.0,2
297,Ambalipura,1060.0,2.0,58.5,2
298,Ambalipura,1650.0,3.0,100.0,3
299,Ambalipura,1607.0,2.0,112.0,3
300,Ambalipura,1198.0,2.0,80.0,2
301,Ambedkar Nagar,1935.0,4.0,130.0,3
302,Ambedkar Nagar,1424.0,2.0,90.0,2
303,Ambedkar Nagar,2225.0,4.0,169.0,3
304,Ambedkar Nagar,1862.0,3.0,120.0,3
305,Ambedkar Nagar,1850.0,4.0,139.0,3
306,Ambedkar Nagar,1936.0,4.0,126.0,3
307,Ambedkar Nagar,1862.0,3.0,119.0,3
308,Ambedkar Nagar,1424.0,2.0,90.0,2
309,Ambedkar Nagar,2150.0,4.0,125.0,3
310,Ambedkar Nagar,3530.0,4.0,290.0,4
311,Ambedkar Nagar,1856.0,3.0,120.0,3
312,Ambedkar Nagar,1852.0,3.0,130.0,3
313,Ambedkar Nagar,1850.0,4.0,120.0,3
314,Ambedkar Nagar,1367.0,2.0,86.0,2
315,Ambedkar Nagar,3565.0,4.0,255.0,4
316,Ambedkar Nagar,1409.0,2.0,95.0,2
317,Ambedkar Nagar,1950.0,4.0,120.0,3
318,Ambedkar Nagar,1921.0,4.0,129.0,3
319,Ambedkar Nagar,1920.0,4.0,121.0,3
320,Ambedkar Nagar,1935.0,4.0,125.0,3
321,Ambedkar Nagar,1852.0,4.0,122.0,3
322,Ambedkar Nagar,1950.0,4.0,120.0,3
323,Ambedkar Nagar,1852.0,3.0,125.0,3
324,Ambedkar Nagar,1850.0,4.0,121.0,3
325,Ambedkar Nagar,1425.0,2.0,94.0,2
326,Ambedkar Nagar,2395.0,4.0,150.0,3
327,Amruthahalli,900.0,2.0,40.0,2
328,Amruthahalli,1200.0,2.0,55.0,2
329,Amruthahalli,1900.0,3.0,135.0,3
330,Amruthahalli,924.0,2.0,45.0,2
331,Amruthahalli,900.0,2.0,60.0,2
332,Amruthahalli,1100.0,2.0,45.0,2
333,Amruthahalli,1200.0,2.0,55.0,2
334,Amruthahalli,1350.0,2.0,63.0,3
335,Amruthahalli,1605.0,3.0,65.0,3
336,Amruthahalli,1700.0,3.0,77.0,3
337,Amruthahalli,1450.0,2.0,85.0,3
338,Amruthahalli,1200.0,2.0,55.0,2
339,Amruthahalli,1250.0,2.0,79.0,2
340,Amruthahalli,1190.0,2.0,50.0,2
341,Amruthahalli,1202.0,2.0,65.0,2
342,Amruthahalli,1340.0,2.0,75.0,2
343,Amruthahalli,2650.0,4.0,175.0,3
344,Amruthahalli,1450.0,2.0,90.0,3
345,Amruthahalli,1025.0,2.0,42.0,2
346,Amruthahalli,485.0,1.0,19.5,1
347,Anandapura,1167.0,2.0,43.76,2
348,Anandapura,1000.0,2.0,55.0,2
349,Anandapura,1141.0,2.0,42.79,2
350,Anandapura,1576.0,3.0,59.1,3
351,Anandapura,1200.0,2.0,67.0,2
352,Anandapura,1200.0,2.0,58.0,2
353,Anandapura,1151.0,2.0,43.1,2
354,Anandapura,1141.0,2.0,42.75,2
355,Anandapura,900.0,2.0,48.0,2
356,Anandapura,1749.0,4.0,90.0,4
357,Anandapura,1151.0,2.0,42.9,2
358,Anandapura,1576.0,3.0,58.0,3
359,Anandapura,1250.0,2.0,45.0,2
360,Anandapura,1151.0,2.0,43.16,2
361,Anandapura,1200.0,2.0,58.0,2
362,Anandapura,1200.0,2.0,66.0,3
363,Anandapura,1415.0,2.0,74.0,3
364,Anandapura,1200.0,2.0,50.0,2
365,Anandapura,1141.0,2.0,50.0,2
366,Anandapura,1576.0,3.0,58.7,3
367,Ananth Nagar,500.0,1.0,14.0,1
368,Ananth Nagar,1100.0,2.0,31.5,2
369,Ananth Nagar,982.0,2.0,24.55,2
370,Ananth Nagar,500.0,2.0,14.0,1
371,Ananth Nagar,900.0,2.0,22.5,2
372,Ananth Nagar,908.0,2.0,26.0,2
373,Ananth Nagar,870.0,2.0,36.0,2
374,Ananth Nagar,937.0,2.0,35.0,2
375,Ananth Nagar,960.0,2.0,37.0,2
376,Ananth Nagar,500.0,1.0,14.0,1
377,Ananth Nagar,1000.0,2.0,29.7,2
378,Ananth Nagar,850.0,2.0,25.99,2
379,Ananth Nagar,902.0,2.0,25.26,2
380,Ananth Nagar,1470.0,3.0,54.0,3
381,Ananth Nagar,810.0,2.0,25.5,2
382,Ananth Nagar,890.0,2.0,27.0,2
383,Ananth Nagar,1200.0,2.0,36.0,2
384,Ananth Nagar,1319.0,3.0,37.75,3
385,Ananth Nagar,1319.0,3.0,42.0,3
386,Ananth Nagar,1000.0,2.0,25.0,2
387,Ananth Nagar,902.0,2.0,25.0,2
388,Ananth Nagar,930.0,2.0,25.99,2
389,Ananth Nagar,1074.0,2.0,26.85,2
390,Ananth Nagar,500.0,1.0,14.0,1
391,Ananth Nagar,1010.0,2.0,38.0,2
392,Ananth Nagar,992.0,2.0,24.8,2
393,Anjanapura,1850.0,4.0,86.0,4
394,Anjanapura,1070.0,2.0,39.0,2
395,Anjanapura,1500.0,3.0,121.0,3
396,Anjanapura,1070.0,2.0,37.0,2
397,Anjanapura,950.0,2.0,40.0,2
398,Anjanapura,1280.0,2.0,45.0,3
399,Anjanapura,710.0,2.0,25.0,2
400,Anjanapura,1347.0,2.0,37.72,3
401,Anjanapura,950.0,2.0,32.0,2
402,Anjanapura,1800.0,4.0,55.0,4
403,Anjanapura,1843.0,3.0,87.54,3
404,Anjanapura,1076.0,2.0,30.13,2
405,Anjanapura,950.0,2.0,30.0,2
406,Ardendale,1750.0,3.0,100.0,3
407,Ardendale,3198.0,4.0,200.0,4
408,Ardendale,2422.0,4.0,160.0,4
409,Ardendale,1750.0,3.0,100.0,3
410,Ardendale,3200.0,4.0,205.0,4
411,Ardendale,1728.0,3.0,95.0,3
412,Ardendale,2062.0,3.0,140.0,4
413,Ardendale,1732.46,3.0,92.0,3
414,Ardendale,2062.0,3.0,150.0,4
415,Ardendale,2800.0,4.0,140.0,4
416,Ardendale,1224.0,2.0,70.0,2
417,Ardendale,1777.26,3.0,105.0,3
418,Ardendale,1650.0,3.0,82.0,3
419,Ardendale,2062.0,3.0,140.0,4
420,Ardendale,1650.0,3.0,82.0,3
421,Ardendale,1224.0,2.0,67.0,2
422,Ardendale,1723.0,3.0,95.0,3
423,Ardendale,1777.26,3.0,89.0,3
424,Ardendale,1777.26,3.0,92.0,3
425,Attibele,450.0,1.0,11.0,1
426,Attibele,1600.0,4.0,52.8,4
427,Attibele,656.0,2.0,25.0,2
428,Attibele,400.0,1.0,11.0,1
429,Attibele,400.0,1.0,12.0,1
430,Attibele,400.0,1.0,14.0,1
431,Attibele,500.0,1.0,17.0,1
432,Attibele,2168.0,4.0,95.0,4
433,Attibele,395.0,1.0,10.25,1
434,Attibele,420.0,1.0,17.0,1
435,Attibele,1639.0,2.0,40.98,3
436,Attibele,418.0,1.0,12.0,1
437,Attibele,1200.0,2.0,42.0,2
438,Attibele,400.0,1.0,10.0,1
439,Attibele,695.0,1.0,25.0,2
440,Attibele,850.0,1.0,25.0,2
441,Attibele,2400.0,3.0,120.0,3
442,Attibele,450.0,1.0,12.5,1
443,Attibele,995.0,1.0,24.88,2
444,Attibele,900.0,1.0,25.0,2
445,Attibele,1174.0,2.0,29.35,2
446,Attibele,782.0,1.0,19.55,1
447,Attibele,1175.0,2.0,29.38,2
448,Attibele,656.0,2.0,25.0,2
449,Attibele,400.0,1.0,11.5,1
450,Attibele,460.0,1.0,13.0,1
451,Attibele,418.0,2.0,11.5,1
452,Attibele,1000.0,2.0,42.0,2
453,Attibele,550.0,1.0,11.5,1
454,Attibele,996.0,2.0,24.9,2
455,Attibele,410.0,1.0,10.0,1
456,Attibele,1700.0,3.0,65.0,3
457,Attibele,400.0,1.0,10.25,1
458,Attibele,656.0,2.0,25.0,2
459,Attibele,1500.0,3.0,90.0,3
460,Attibele,520.0,1.0,15.0,1
461,BEML Layout,1060.0,2.0,55.0,2
462,BEML Layout,2000.0,3.0,85.0,3
463,BEML Layout,999.0,2.0,45.0,2
464,BEML Layout,2400.0,4.0,225.0,5
465,BEML Layout,2000.0,2.0,85.0,3
466,BEML Layout,1194.0,2.0,65.0,2
467,BEML Layout,1200.0,2.0,67.0,2
468,BEML Layout,2400.0,2.0,228.0,2
469,BEML Layout,2000.0,3.0,85.0,3
470,BEML Layout,2000.0,3.0,85.0,3
471,BEML Layout,1194.0,2.0,65.0,2
472,BTM 2nd Stage,1260.0,5.0,185.0,3
473,BTM 2nd Stage,950.0,2.0,52.0,2
474,BTM 2nd Stage,1850.0,3.0,170.0,3
475,BTM 2nd Stage,1200.0,2.0,80.0,2
476,BTM 2nd Stage,1274.0,2.0,70.0,2
477,BTM 2nd Stage,1250.0,3.0,50.0,3
478,BTM 2nd Stage,1070.0,2.0,48.0,2
479,BTM 2nd Stage,1280.0,2.0,80.0,2
480,BTM 2nd Stage,1100.0,2.0,70.0,2
481,BTM 2nd Stage,1000.0,2.0,58.0,2
482,BTM 2nd Stage,2990.0,5.0,416.0,5
483,BTM 2nd Stage,1265.0,2.0,55.0,2
484,BTM 2nd Stage,2200.0,3.0,220.0,3
485,BTM 2nd Stage,2780.0,4.0,325.0,3
486,BTM 2nd Stage,2400.0,2.0,360.0,3
487,BTM 2nd Stage,965.0,2.0,56.0,2
488,BTM 2nd Stage,1147.0,2.0,75.0,2
489,BTM 2nd Stage,1750.0,3.0,172.0,3
490,BTM 2nd Stage,1400.0,2.0,90.0,2
491,BTM 2nd Stage,1200.0,2.0,70.0,2
492,BTM 2nd Stage,1100.0,2.0,47.0,2
493,BTM 2nd Stage,930.0,2.0,46.0,2
494,BTM 2nd Stage,1265.0,2.0,55.0,3
495,BTM 2nd Stage,2500.0,3.0,345.0,3
496,BTM Layout,1150.0,2.0,63.0,2
497,BTM Layout,3300.0,6.0,165.0,6
498,BTM Layout,1450.0,2.0,81.0,3
499,BTM Layout,1776.0,2.0,75.0,3
500,BTM Layout,1458.0,3.0,79.0,3
501,BTM Layout,935.0,2.0,51.5,2
502,BTM Layout,1020.0,2.0,46.5,2
503,BTM Layout,1600.0,3.0,112.0,3
504,BTM Layout,1300.0,2.0,75.0,3
505,BTM Layout,1540.0,2.0,78.0,3
506,BTM Layout,450.0,1.0,20.0,1
507,BTM Layout,1196.0,2.0,56.81,2
508,BTM Layout,1470.0,2.0,99.0,3
509,Babusapalaya,1358.0,2.0,43.4,3
510,Babusapalaya,1213.0,2.0,41.39,3
511,Babusapalaya,1611.0,2.0,66.0,3
512,Babusapalaya,1167.0,2.0,39.98,3
513,Babusapalaya,1675.0,3.0,75.0,3
514,Babusapalaya,1141.0,2.0,46.0,2
515,Babusapalaya,1500.0,2.0,57.0,2
516,Babusapalaya,1453.0,2.0,43.59,3
517,Babusapalaya,1050.0,2.0,45.0,2
518,Babusapalaya,1141.0,2.0,45.9,2
519,Babusapalaya,1358.0,2.0,43.1,3
520,Babusapalaya,1230.0,3.0,53.0,3
521,Babusapalaya,1105.0,2.0,40.0,2
522,Babusapalaya,1410.0,2.0,65.0,3
523,Babusapalaya,1450.0,2.0,55.99,2
524,Babusapalaya,1100.0,2.0,38.0,2
525,Babusapalaya,1213.0,2.0,36.37,3
526,Babusapalaya,1061.0,2.0,33.84,2
527,Babusapalaya,1061.0,2.0,38.95,2
